,gammalist [deg],d_gamma [deg],F [N], T[N],F_MF [N],F_MD [N],F_MF+F_MD [N],F_MR [N]
0,45.0,0.0,0.03338,0.0236,0.01641,0.00036,0.01677,0.01661
1,44.78788,0.21212,0.03417,0.02425,0.01666,0.00038,0.01704,0.01714
2,44.57576,0.42424,0.03499,0.02492,0.01691,0.00039,0.017300000000000003,0.01768
3,44.36364,0.63636,0.03583,0.02561,0.01717,0.00041,0.017580000000000002,0.01825
4,44.15152,0.84848,0.03669,0.02632,0.01743,0.00043,0.01786,0.01882
5,43.93939,1.06061,0.03757,0.02706,0.0177,0.00045,0.01815,0.01942
6,43.72727,1.27273,0.03848,0.02781,0.01798,0.00047,0.01845,0.02003
7,43.51515,1.48485,0.03942,0.02858,0.01826,0.00049,0.01875,0.02066
8,43.30303,1.69697,0.04037,0.02938,0.01854,0.00052,0.01906,0.02131
9,43.09091,1.90909,0.04136,0.0302,0.01883,0.00054,0.01937,0.02198
10,42.87879,2.12121,0.04237,0.03105,0.01913,0.00057,0.019700000000000002,0.02267
11,42.66667,2.33333,0.04341,0.03192,0.01943,0.00059,0.02002,0.02338
12,42.45455,2.54545,0.04448,0.03282,0.01974,0.00062,0.02036,0.02411
13,42.24242,2.75758,0.04557,0.03374,0.02006,0.00065,0.020710000000000003,0.02487
14,42.0303,2.9697,0.0467,0.03469,0.02038,0.00068,0.02106,0.02564
15,41.81818,3.18182,0.04786,0.03567,0.02071,0.00071,0.021419999999999998,0.02644
16,41.60606,3.39394,0.04905,0.03668,0.02104,0.00075,0.02179,0.02726
17,41.39394,3.60606,0.05027,0.03771,0.02138,0.00078,0.02216,0.02811
18,41.18182,3.81818,0.05153,0.03878,0.02173,0.00082,0.02255,0.02898
19,40.9697,4.0303,0.05282,0.03989,0.02209,0.00086,0.022949999999999998,0.02988
20,40.75758,4.24242,0.05415,0.04102,0.02245,0.0009,0.023350000000000003,0.0308
21,40.54545,4.45455,0.05552,0.04219,0.02282,0.00094,0.02376,0.03175
22,40.33333,4.66667,0.05692,0.04339,0.0232,0.00099,0.02419,0.03273
23,40.12121,4.87879,0.05837,0.04463,0.02359,0.00103,0.02462,0.03374
24,39.90909,5.09091,0.05985,0.04591,0.02399,0.00108,0.025070000000000002,0.03478
25,39.69697,5.30303,0.06138,0.04723,0.02439,0.00114,0.025529999999999997,0.03585
26,39.48485,5.51515,0.06295,0.04858,0.0248,0.00119,0.02599,0.03696
27,39.27273,5.72727,0.06456,0.04998,0.02523,0.00125,0.02648,0.03809
28,39.06061,5.93939,0.06623,0.05142,0.02566,0.00131,0.026969999999999997,0.03926
29,38.84848,6.15152,0.06793,0.05291,0.0261,0.00137,0.02747,0.04047
30,38.63636,6.36364,0.06969,0.05444,0.02655,0.00143,0.02798,0.04171
31,38.42424,6.57576,0.0715,0.05602,0.02701,0.0015,0.02851,0.04298
32,38.21212,6.78788,0.07336,0.05764,0.02748,0.00158,0.029060000000000002,0.0443
33,38.0,7.0,0.07528,0.05932,0.02797,0.00165,0.029619999999999997,0.04566
34,37.78788,7.21212,0.07725,0.06105,0.02846,0.00173,0.030189999999999998,0.04706
35,37.57576,7.42424,0.07927,0.06283,0.02896,0.00181,0.03077,0.04849
36,37.36364,7.63636,0.08136,0.06467,0.02948,0.0019,0.03138,0.04998
37,37.15152,7.84848,0.08351,0.06656,0.03001,0.00199,0.032,0.05151
38,36.93939,8.06061,0.08572,0.06852,0.03055,0.00209,0.03264,0.05308
39,36.72727,8.27273,0.088,0.07053,0.0311,0.00219,0.03329,0.0547
40,36.51515,8.48485,0.09034,0.07261,0.03167,0.0023,0.03397,0.05637
41,36.30303,8.69697,0.09276,0.07475,0.03225,0.00241,0.03466,0.0581
42,36.09091,8.90909,0.09525,0.07697,0.03285,0.00253,0.035379999999999995,0.05987
43,35.87879,9.12121,0.09781,0.07925,0.03345,0.00265,0.0361,0.0617
44,35.66667,9.33333,0.10045,0.0816,0.03408,0.00278,0.03686,0.06359
45,35.45455,9.54545,0.10316,0.08403,0.03472,0.00292,0.03764,0.06553
46,35.24242,9.75758,0.10596,0.08654,0.03537,0.00306,0.03843,0.06753
47,35.0303,9.9697,0.10885,0.08913,0.03604,0.00321,0.03925,0.0696
48,34.81818,10.18182,0.11182,0.0918,0.03673,0.00337,0.0401,0.07173
49,34.60606,10.39394,0.11489,0.09456,0.03743,0.00353,0.040959999999999996,0.07392
50,34.39394,10.60606,0.11805,0.09741,0.03815,0.00371,0.04186,0.07618
51,34.18182,10.81818,0.1213,0.10035,0.0389,0.00389,0.042789999999999995,0.07852
52,33.9697,11.0303,0.12466,0.10339,0.03966,0.00409,0.04375,0.08092
53,33.75758,11.24242,0.12812,0.10652,0.04044,0.00429,0.04473,0.0834
54,33.54545,11.45455,0.13169,0.10976,0.04124,0.0045,0.045739999999999996,0.08596
55,33.33333,11.66667,0.13538,0.1131,0.04206,0.00473,0.04679,0.08859
56,33.12121,11.87879,0.13917,0.11656,0.0429,0.00496,0.04786,0.09131
57,32.90909,12.09091,0.14309,0.12013,0.04377,0.00521,0.04898,0.09412
58,32.69697,12.30303,0.14713,0.12382,0.04465,0.00547,0.050120000000000005,0.09701
59,32.48485,12.51515,0.1513,0.12763,0.04557,0.00574,0.05131,0.09999
60,32.27273,12.72727,0.15561,0.13157,0.0465,0.00603,0.05253,0.10307
61,32.06061,12.93939,0.16005,0.13564,0.04747,0.00634,0.05381,0.10625
62,31.84848,13.15152,0.16464,0.13985,0.04846,0.00666,0.05512,0.10952
63,31.63636,13.36364,0.16937,0.1442,0.04948,0.00699,0.056470000000000006,0.1129
64,31.42424,13.57576,0.17426,0.1487,0.05053,0.00735,0.05788,0.11639
65,31.21212,13.78788,0.17931,0.15335,0.0516,0.00772,0.05932,0.11998
66,31.0,14.0,0.18452,0.15817,0.05271,0.00812,0.06083,0.1237
67,30.78788,14.21212,0.18991,0.16314,0.05385,0.00853,0.062380000000000005,0.12753
68,30.57576,14.42424,0.19547,0.16829,0.05502,0.00897,0.06399,0.13148
69,30.36364,14.63636,0.20122,0.17362,0.05623,0.00943,0.06566,0.13556
70,30.15152,14.84848,0.20716,0.17913,0.05748,0.00991,0.06739,0.13977
71,29.93939,15.06061,0.2133,0.18484,0.05876,0.01042,0.06918,0.14412
72,29.72727,15.27273,0.21965,0.19074,0.06008,0.01096,0.07104,0.1486
73,29.51515,15.48485,0.22621,0.19685,0.06144,0.01153,0.07297000000000001,0.15324
74,29.30303,15.69697,0.23299,0.20318,0.06285,0.01213,0.07498,0.15802
75,29.09091,15.90909,0.24001,0.20973,0.0643,0.01276,0.07705999999999999,0.16295
